locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOLGGCEK_00001	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
HOLGGCEK_00002	CDS	375	rpsL		COG0048	30S ribosomal protein S12
HOLGGCEK_00003	CDS	471	rpsG		COG0049	30S ribosomal protein S7
HOLGGCEK_00004	CDS	2103	fusA		COG0480	Elongation factor G
HOLGGCEK_00005	CDS	1185	tufB_1		COG0050	Elongation factor Tu 2
HOLGGCEK_00006	CDS	288	tusB			Protein TusB
HOLGGCEK_00007	CDS	360	tusC			Protein TusC
HOLGGCEK_00008	CDS	381	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
HOLGGCEK_00009	CDS	666	dauR		COG2964	Transcriptional regulator DauR
HOLGGCEK_00010	CDS	726		5.2.1.8	COG0545	putative FKBP-type peptidyl-prolyl cis-trans isomerase
HOLGGCEK_00011	CDS	222	slyX			Protein SlyX
HOLGGCEK_00012	CDS	726	PGdx	1.11.1.15	COG0678	Hybrid peroxiredoxin hyPrx5
HOLGGCEK_00013	CDS	906	oxyR			Hydrogen peroxide-inducible genes activator
HOLGGCEK_00014	CDS	618	fabR		COG1309	HTH-type transcriptional repressor FabR
HOLGGCEK_00015	CDS	489	greB		COG0782	Transcription elongation factor GreB
HOLGGCEK_00016	CDS	2313	yhgF		COG2183	Protein YhgF
HOLGGCEK_00017	CDS	2421	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
HOLGGCEK_00018	CDS	675	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
HOLGGCEK_00019	CDS	675	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
HOLGGCEK_00020	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
HOLGGCEK_00021	CDS	453	asnC		COG1522	Regulatory protein AsnC
HOLGGCEK_00022	CDS	396	hslR		COG1188	Heat shock protein 15
HOLGGCEK_00023	CDS	1989				TIGR00733: oligopeptide transporter, OPT family
HOLGGCEK_00024	CDS	417				hypothetical protein
HOLGGCEK_00025	CDS	810	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
HOLGGCEK_00026	CDS	1485	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
HOLGGCEK_00027	CDS	699	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
HOLGGCEK_00028	CDS	447				hypothetical protein
HOLGGCEK_00029	CDS	783				hypothetical protein
HOLGGCEK_00030	CDS	1455	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
HOLGGCEK_00031	CDS	624				hypothetical protein
HOLGGCEK_00032	CDS	828	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
HOLGGCEK_00033	CDS	240	lex1_1	2.-.-.-	COG3306	Lipooligosaccharide biosynthesis protein lex-1
HOLGGCEK_00034	CDS	606	lex1_2	2.-.-.-	COG3306	Lipooligosaccharide biosynthesis protein lex-1
HOLGGCEK_00035	CDS	864	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
HOLGGCEK_00036	CDS	1032				heptsyl_trn_III: putative lipopolysaccharide heptosyltransferase III
HOLGGCEK_00037	CDS	678				hypothetical protein
HOLGGCEK_00038	CDS	219	infA		COG0361	Translation initiation factor IF-1
HOLGGCEK_00039	CDS	378	rpsF		COG0360	30S ribosomal protein S6
HOLGGCEK_00040	CDS	285	priB		COG2965	Primosomal replication protein N
HOLGGCEK_00041	CDS	228	rpsR		COG0238	30S ribosomal protein S18
HOLGGCEK_00042	CDS	450	rplI		COG0359	50S ribosomal protein L9
HOLGGCEK_00043	CDS	1656	groL		COG0459	60 kDa chaperonin
HOLGGCEK_00044	CDS	291	groS		COG0234	10 kDa chaperonin
HOLGGCEK_00045	CDS	303	ureA	3.5.1.5		Urease subunit gamma
HOLGGCEK_00046	CDS	306	ureB	3.5.1.5		Urease subunit beta
HOLGGCEK_00047	CDS	1719	ureC	3.5.1.5		Urease subunit alpha
HOLGGCEK_00048	CDS	558	ureE			Urease accessory protein UreE
HOLGGCEK_00049	CDS	708	ureF		COG0830	Urease accessory protein UreF
HOLGGCEK_00050	CDS	636	ureG		COG0378	Urease accessory protein UreG
HOLGGCEK_00051	CDS	816	ureH		COG0829	Urease accessory protein UreH
HOLGGCEK_00052	CDS	1419	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
HOLGGCEK_00053	CDS	1890	rpoD		COG0568	RNA polymerase sigma factor RpoD
HOLGGCEK_00054	CDS	1782	dnaG	2.7.7.-	COG0358	DNA primase
HOLGGCEK_00055	CDS	216	rpsU		COG0828	30S ribosomal protein S21
HOLGGCEK_00056	CDS	1029	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
HOLGGCEK_00057	CDS	582	tdk	2.7.1.21		Thymidine kinase
HOLGGCEK_00058	CDS	1221	tyrP_1		COG0814	Tyrosine-specific transport protein
HOLGGCEK_00059	CDS	261			COG1145	putative ferredoxin-like protein
HOLGGCEK_00060	CDS	795				hypothetical protein
HOLGGCEK_00061	CDS	1161	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
HOLGGCEK_00062	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
HOLGGCEK_00063	CDS	1041				heptsyl_trn_I: lipopolysaccharide heptosyltransferase I
HOLGGCEK_00064	CDS	657				hypothetical protein
HOLGGCEK_00065	CDS	1545				putative protein
HOLGGCEK_00066	CDS	789	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
HOLGGCEK_00067	CDS	1254	nupX		COG1972	Putative nucleoside permease NupX
HOLGGCEK_00068	CDS	717	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
HOLGGCEK_00069	CDS	429	rplK		COG0080	50S ribosomal protein L11
HOLGGCEK_00070	CDS	690	rplA		COG0081	50S ribosomal protein L1
HOLGGCEK_00071	CDS	2829	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
HOLGGCEK_00072	CDS	1272	rpoB_2	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
HOLGGCEK_00073	CDS	4251	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
HOLGGCEK_00074	CDS	945	tehA		COG1275	Tellurite resistance protein TehA 
HOLGGCEK_00075	CDS	720	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
HOLGGCEK_00076	CDS	912	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
HOLGGCEK_00077	CDS	489	rraA		COG0684	Regulator of ribonuclease activity A
HOLGGCEK_00078	CDS	552				HI0507: family protein
HOLGGCEK_00079	CDS	999	rbsR		COG1609	Ribose operon repressor
HOLGGCEK_00080	CDS	924	rbsK	2.7.1.15	COG0524	Ribokinase
HOLGGCEK_00081	CDS	879	rbsB		COG1879	Ribose import binding protein RbsB
HOLGGCEK_00082	CDS	930	rbsC		COG1172	Ribose import permease protein RbsC
HOLGGCEK_00083	CDS	1482	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HOLGGCEK_00084	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
HOLGGCEK_00085	CDS	1443				hypothetical protein
HOLGGCEK_00086	CDS	1296	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
HOLGGCEK_00087	CDS	1053	potD_1		COG0687	Spermidine/putrescine-binding periplasmic protein
HOLGGCEK_00088	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
HOLGGCEK_00089	CDS	528	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
HOLGGCEK_00090	CDS	708	aphA	3.1.3.2	COG3700	Class B acid phosphatase
HOLGGCEK_00091	CDS	504	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
HOLGGCEK_00092	CDS	474	yqaA		COG1238	Inner membrane protein YqaA
HOLGGCEK_00093	CDS	603	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
HOLGGCEK_00094	CDS	378				hypothetical protein
HOLGGCEK_00095	CDS	612	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
HOLGGCEK_00096	CDS	375				hypothetical protein
HOLGGCEK_00097	CDS	789	atpB		COG0356	ATP synthase subunit a
HOLGGCEK_00098	CDS	255	atpH_1			ATP synthase subunit c
HOLGGCEK_00099	CDS	471	atpF		COG0711	ATP synthase subunit b
HOLGGCEK_00100	CDS	534	atpH_2		COG0712	ATP synthase subunit delta
HOLGGCEK_00101	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
HOLGGCEK_00102	CDS	870	atpG		COG0224	ATP synthase gamma chain
HOLGGCEK_00103	CDS	1374	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
HOLGGCEK_00104	CDS	429	atpC		COG0355	ATP synthase epsilon chain
HOLGGCEK_00105	CDS	1203	tyrP_2		COG0814	Tyrosine-specific transport protein
HOLGGCEK_00106	CDS	666	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
HOLGGCEK_00107	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
HOLGGCEK_00108	CDS	750	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
HOLGGCEK_00109	CDS	600	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
HOLGGCEK_00110	CDS	1089	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
HOLGGCEK_00111	CDS	1059	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
HOLGGCEK_00112	CDS	1284	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
HOLGGCEK_00113	CDS	912	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
HOLGGCEK_00114	CDS	270				hypothetical protein
HOLGGCEK_00115	CDS	864				hypothetical protein
HOLGGCEK_00116	CDS	843	ygfZ		COG0354	tRNA-modifying protein YgfZ
HOLGGCEK_00117	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
HOLGGCEK_00118	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
HOLGGCEK_00119	CDS	1152	hemW		COG0635	Heme chaperone HemW
HOLGGCEK_00120	CDS	2412	lon	3.4.21.53	COG0466	Lon protease
HOLGGCEK_00121	CDS	876			COG2990	putative protein
HOLGGCEK_00122	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
HOLGGCEK_00123	CDS	540	pyrR			Bifunctional protein PyrR
HOLGGCEK_00124	CDS	936	surA	5.2.1.8		Chaperone SurA
HOLGGCEK_00125	CDS	1044	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
HOLGGCEK_00126	CDS	633	tmk	2.7.4.9	COG0125	Thymidylate kinase
HOLGGCEK_00127	CDS	984	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
HOLGGCEK_00128	CDS	783	ycfH_1	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
HOLGGCEK_00129	CDS	525				hypothetical protein
HOLGGCEK_00130	CDS	1293				hypothetical protein
HOLGGCEK_00131	CDS	192				hypothetical protein
HOLGGCEK_00132	CDS	138	vapD	3.1.-.-	COG3309	Endoribonuclease VapD
HOLGGCEK_00133	CDS	531				hypothetical protein
HOLGGCEK_00134	CDS	1500				PTS_HPr_family: phosphocarrier, HPr family
HOLGGCEK_00135	CDS	942	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
HOLGGCEK_00136	CDS	1671	fruA		COG1299	PTS system fructose-specific EIIB'BC component
HOLGGCEK_00137	tRNA	86				tRNA-Leu(gag)
HOLGGCEK_00138	CDS	342	secG		COG1314	Protein-export membrane protein SecG
HOLGGCEK_00139	CDS	1956	topB	5.6.2.1	COG0550	DNA topoisomerase 3
HOLGGCEK_00140	CDS	603	recR		COG0353	Recombination protein RecR
HOLGGCEK_00141	CDS	330			COG0718	Nucleoid-associated protein
HOLGGCEK_00142	CDS	846	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
HOLGGCEK_00143	CDS	2595	mrcA		COG5009	Penicillin-binding protein 1A
HOLGGCEK_00144	CDS	798				hypothetical protein
HOLGGCEK_00145	CDS	507				hypothetical protein
HOLGGCEK_00146	CDS	522				hypothetical protein
HOLGGCEK_00147	CDS	414				hypothetical protein
HOLGGCEK_00148	CDS	1338	pilQ			Type IV pilus biogenesis and competence protein PilQ
HOLGGCEK_00149	CDS	687				comF: comF family protein
HOLGGCEK_00150	CDS	597	nfuA		COG0316	Fe/S biogenesis protein NfuA
HOLGGCEK_00151	CDS	795	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
HOLGGCEK_00152	CDS	591			COG3068	putative protein
HOLGGCEK_00153	CDS	273	hupA			DNA-binding protein HU-alpha
HOLGGCEK_00154	CDS	1833	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HOLGGCEK_00155	CDS	534	dsbB		COG1495	Disulfide bond formation protein B
HOLGGCEK_00156	CDS	1545	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
HOLGGCEK_00157	CDS	726	fadR		COG2186	Fatty acid metabolism regulator protein
HOLGGCEK_00158	CDS	1368	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
HOLGGCEK_00159	CDS	1056	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
HOLGGCEK_00160	CDS	699	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
HOLGGCEK_00161	CDS	1320	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
HOLGGCEK_00162	CDS	1380	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
HOLGGCEK_00163	CDS	1305	yhjE_1			Inner membrane metabolite transport protein YhjE
HOLGGCEK_00164	CDS	681	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
HOLGGCEK_00165	CDS	810	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
