SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
EBNMPBKG_00033	1	1104	+	(ompP2)	1-1080/1080	34/68	97.96	85.44	VFDB	VFG000336(gb|NP_438308)	[P2_protein_(VF0042)]	 VFG000336(gb|NP_438308) (ompP2) outer membrane protein P2 (ompP2), laminin binding protein [P2 protein (VF0042)]
EBNMPBKG_00092	1	956	+	(msbB)	1-956/957	0/0	99.9	98.01	VFDB	VFG013254(gb|NP_438368)	[LOS_(CVF494)]	 VFG013254(gb|NP_438368) (msbB) lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase [LOS (CVF494)]
EBNMPBKG_00164	3	958	+	(lgtC)	39-993/993	1/1	96.17	97.7	VFDB	VFG013260(gb|NP_438427)	[LOS_(CVF494)]	 VFG013260(gb|NP_438427) (lgtC) glycosyltransferase [LOS (CVF494)]
EBNMPBKG_00165	1	588	+	(orfM)	1-588/588	0/0	100.0	96.6	VFDB	VFG013265(gb|NP_438428)	[LOS_(CVF494)]	 VFG013265(gb|NP_438428) (orfM) deoxyribonucleotide triphosphate pyrophosphatase [LOS (CVF494)]
EBNMPBKG_00166	1	726	+	(kdkA)	1-726/726	0/0	100.0	97.52	VFDB	VFG013271(gb|NP_438429)	[LOS_(CVF494)]	 VFG013271(gb|NP_438429) (kdkA) 3-deoxy-D-manno-octulosonic-acid kinase [LOS (CVF494)]
EBNMPBKG_00167	1	1044	+	(opsX/rfaC)	1-1044/1044	0/0	100.0	95.69	VFDB	VFG013276(gb|NP_438430)	[LOS_(CVF494)]	 VFG013276(gb|NP_438430) (opsX/rfaC) heptosyltransferase I  [LOS (CVF494)]
EBNMPBKG_00169	1	1698	+	(hxuB)	1-1698/1698	0/0	100.0	95.58	VFDB	VFG000341(gb|NP_438432)	[HxuABC_(VF0269)]	 VFG000341(gb|NP_438432) (hxuB) heme-hemopexin utilization protein B HxuB, two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein [HxuABC (VF0269)]
EBNMPBKG_00170	493	2808	+	(hxuA)	445-2718/2718	21/54	83.44	89.58	VFDB	VFG000340(gb|NP_438433)	[HxuABC_(VF0269)]	 VFG000340(gb|NP_438433) (hxuA) heme-hemopexin utilization protein A, two-partner secretion (TPS) pathway TpsA protein, haem-haemopexin binding protein  [HxuABC (VF0269)]
EBNMPBKG_00188	1	1656	+	(lpt6)	1-1656/1656	2/2	99.94	96.2	VFDB	VFG013281(gb|NP_438444)	[LOS_(CVF494)]	 VFG013281(gb|NP_438444) (lpt6) phosphoethanolamine (Petn) transferase [LOS (CVF494)]
EBNMPBKG_00239	1	1296	+	(oapA)	1-1296/1296	0/0	100.0	98.46	VFDB	VFG000334(gb|NP_438494)	[OapA_(VF0040)]	 VFG000334(gb|NP_438494) (oapA) opacity associated protein (oapA) [OapA (VF0040)]
EBNMPBKG_00260	1	1017	+	(galE)	1-1017/1017	0/0	100.0	98.92	VFDB	VFG013286(gb|NP_438515)	[LOS_(CVF494)]	 VFG013286(gb|NP_438515) (galE) UDP-glucose 4-epimerase [LOS (CVF494)]
EBNMPBKG_00413	1	1041	+	(waaQ)	1-1041/1041	0/0	100.0	93.28	VFDB	VFG013299(gb|NP_438681)	[LOS_(CVF494)]	 VFG013299(gb|NP_438681) (waaQ) heptosyltransferase-like protein [LOS (CVF494)]
EBNMPBKG_00542	1	1179	+	(tufA)	1-1179/1185	24/26	98.4	75.92	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
EBNMPBKG_00569	1	1284	+	(kdtA)	1-1284/1284	11/14	99.45	93.57	VFDB	VFG000330(gb|NP_438812)	[LOS_(VF0044)]	 VFG000330(gb|NP_438812) (kdtA) 3-deoxy-d-manno-octulosonic-acid transferase [LOS (VF0044)]
