# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* HOLGGCEK_00001      K03495  294.00 1004.9  2.4e-303 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
  HOLGGCEK_00001      K04094  344.23   83.9     7e-25 methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
  HOLGGCEK_00001      K09516  374.27   37.0   1.3e-10 all-trans-retinol 13,14-reductase [EC:1.3.99.23]
  HOLGGCEK_00001      K21401  224.47   36.2   3.3e-10 menaquinone-9 beta-reductase [EC:1.3.99.38]
  HOLGGCEK_00001      K22549  446.50   35.8   3.1e-10 D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
  HOLGGCEK_00001      K09835  397.70   33.2   1.4e-09 prolycopene isomerase [EC:5.2.1.13]
  HOLGGCEK_00001      K00384  320.57   31.5   7.9e-09 thioredoxin reductase (NADPH) [EC:1.8.1.9]
  HOLGGCEK_00001      K00112  119.37   31.1     1e-08 glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
  HOLGGCEK_00001      K00306  306.10   29.7   2.1e-08 sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
  HOLGGCEK_00001      K00302 1271.27   27.3   7.9e-08 sarcosine oxidase, subunit alpha [EC:1.5.3.1]
  HOLGGCEK_00001      K00278  517.87   26.9   1.3e-07 L-aspartate oxidase [EC:1.4.3.16]
  HOLGGCEK_00001      K24954  667.00   26.5   1.8e-07 octopine oxidase subunit A
  HOLGGCEK_00001      K00382  469.67   26.5   1.9e-07 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
  HOLGGCEK_00001      K07137  105.40   26.2   2.4e-07 uncharacterized protein
  HOLGGCEK_00001      K00313  269.93   25.8     4e-07 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
  HOLGGCEK_00001      K17830  252.87   25.4     5e-07 digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
  HOLGGCEK_00001      K00111  152.47   25.2   5.3e-07 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
  HOLGGCEK_00001      K18209  641.13   24.7   6.7e-07 fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1]
  HOLGGCEK_00001      K02846  397.00   24.7   9.2e-07 N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
  HOLGGCEK_00001      K03388  667.43   24.6   5.8e-07 heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
  HOLGGCEK_00001      K21567  367.73   24.0   1.7e-06 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
  HOLGGCEK_00001      K06443  119.53   22.1   5.5e-06 lycopene beta-cyclase [EC:5.5.1.19]
  HOLGGCEK_00001      K00108  433.93   21.3   7.3e-06 choline dehydrogenase [EC:1.1.99.1]
  HOLGGCEK_00001      K14257  303.20   20.7   1.3e-05 tetracycline 7-halogenase / FADH2 O2-dependent halogenase [EC:1.14.19.49 1.14.19.-]
  HOLGGCEK_00001      K00244  389.23   20.7   1.2e-05 fumarate reductase flavoprotein subunit [EC:1.3.5.4]
  HOLGGCEK_00001      K17363  602.27   20.6   1.1e-05 urocanate reductase [EC:1.3.99.33]
  HOLGGCEK_00001      K09471  286.77   20.3   1.4e-05 gamma-glutamylputrescine oxidase [EC:1.4.3.-]
  HOLGGCEK_00001      K00239  637.47   20.1   1.7e-05 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
