SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	VICTORS_ID	DESCRIPTION
IIBCLGFB_00066	4	145	+	RNA_polymerase-binding_transcription_factor	10-151/151	0/0	94.04	75.4	victors	NP_706093.2	Victors_56479612	gi|56479612|ref|NP_706093.2| RNA polymerase-binding transcription factor [Shigella flexneri 2a str. 301]
IIBCLGFB_00072	3	303	+	tRNA_delta(2)-isopentenylpyrophosphate_transferase	10-309/316	1/1	94.94	69.4	victors	YP_410535.1	Victors_82546588	gi|82546588|ref|YP_410535.1| tRNA delta(2)-isopentenylpyrophosphate transferase [Shigella boydii Sb227]
IIBCLGFB_00162	1	423	+	threonine_synthase	1-423/426	0/0	99.3	85.6	victors	YP_001652520.1	Victors_165976927	gi|165976927|ref|YP_001652520.1| threonine synthase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00178	1	626	+	heat_shock_protein_90	1-625/625	2/3	99.84	82.5	victors	YP_001652006.1	Victors_165976413	gi|165976413|ref|YP_001652006.1| heat shock protein 90 [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00223	1	365	+	outer_membrane_protein_P2	1-365/365	0/0	100.0	100.0	victors	YP_247859.1	Victors_68248747	gi|68248747|ref|YP_247859.1| outer membrane protein P2 [Haemophilus influenzae 86-028NP]
IIBCLGFB_00239	1	241	+	3-ketoacyl-ACP_reductase	7-247/248	0/0	97.18	68.5	victors	YP_001217548.1	Victors_147675453	gi|147675453|ref|YP_001217548.1| 3-ketoacyl-ACP reductase [Vibrio cholerae O395]
IIBCLGFB_00242	1	56	+	50S_ribosomal_protein_L32	1-56/56	0/0	100.0	96.4	victors	YP_001054075.1	Victors_126208850	gi|126208850|ref|YP_001054075.1| 50S ribosomal protein L32 [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00248	1	447	+	Na(+)-translocating_NADH-quinone_reductase_subunit_A	1-449/449	2/2	99.55	77.7	victors	YP_001052863.1	Victors_126207638	gi|126207638|ref|YP_001052863.1| Na(+)-translocating NADH-quinone reductase subunit A [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00249	1	411	+	Na(+)-translocating_NADH-quinone_reductase_subunit_B	1-403/403	7/12	99.5	62.0	victors	NP_251688.1	Victors_15598194	gi|15598194|ref|NP_251688.1| Na(+)-translocating NADH-quinone reductase subunit B [Pseudomonas aeruginosa PAO1]
IIBCLGFB_00252	1	198	+	Na(+)-translocating_NADH-quinone_reductase_subunit_E	1-198/198	0/0	100.0	82.3	victors	YP_001217804.1	Victors_147674521	gi|147674521|ref|YP_001217804.1| Na(+)-translocating NADH-quinone reductase subunit E [Vibrio cholerae O395]
IIBCLGFB_00253	10	411	+	Na(+)-translocating_NADH-quinone_reductase_subunit_F	7-408/408	0/0	98.53	81.6	victors	YP_001217803.1	Victors_147675137	gi|147675137|ref|YP_001217803.1| Na(+)-translocating NADH-quinone reductase subunit F [Vibrio cholerae O395]
IIBCLGFB_00261	3	246	+	pyruvate_formate_lyase-activating_enzyme_1	22-265/265	0/0	92.08	73.8	victors	NP_459945.2	Victors_161353606	gi|161353606|ref|NP_459945.2| pyruvate formate lyase-activating enzyme 1 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_00273	4	447	+	glutamate_dehydrogenase	1-443/444	2/3	99.55	65.4	victors	YP_975591.1	Victors_121635346	gi|121635346|ref|YP_975591.1| glutamate dehydrogenase [Neisseria meningitidis FAM18]
IIBCLGFB_00274	1	146	+	ferric_uptake_regulation_protein	1-148/149	1/2	97.99	71.6	victors	YP_001652231.1	Victors_165976638	gi|165976638|ref|YP_001652231.1| ferric uptake regulation protein [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00280	1	355	+	chorismate_synthase	1-350/361	1/5	96.95	74.6	victors	NP_456925.1	Victors_16761308	gi|16761308|ref|NP_456925.1| chorismate synthase [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
IIBCLGFB_00293	1	286	+	DNA_adenine_methylase	1-286/286	0/0	100.0	100.0	victors	YP_247926.1	Victors_68248814	gi|68248814|ref|YP_247926.1| DNA adenine methylase [Haemophilus influenzae 86-028NP]
IIBCLGFB_00312	3	488	+	inosine_5'-monophosphate_dehydrogenase	2-487/488	0/0	99.59	82.5	victors	NP_708347.2	Victors_56480121	gi|56480121|ref|NP_708347.2| inosine 5'-monophosphate dehydrogenase [Shigella flexneri 2a str. 301]
IIBCLGFB_00313	1	523	+	GMP_synthase	1-523/523	0/0	100.0	91.4	victors	YP_001651599.1	Victors_165976006	gi|165976006|ref|YP_001651599.1| GMP synthase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00320	1	691	+	polynucleotide_phosphorylase/polyadenylase	1-691/715	0/0	96.64	90.9	victors	YP_001053284.1	Victors_126208059	gi|126208059|ref|YP_001053284.1| polynucleotide phosphorylase/polyadenylase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00338	1	940	+	DNA_excision_repair_protein_subunit_A	1-940/940	2/2	99.89	63.4	victors	YP_170265.1	Victors_56708369	gi|56708369|ref|YP_170265.1| DNA excision repair protein subunit A [Francisella tularensis subsp. tularensis SCHU S4]
IIBCLGFB_00395	1	294	+	magnesium_and_cobalt_efflux_protein	1-292/297	2/2	98.32	72.8	victors	YP_001053081.1	Victors_126207856	gi|126207856|ref|YP_001053081.1| magnesium and cobalt efflux protein [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00414	1	331	+	Holliday_junction_DNA_helicase_RuvB	1-333/348	1/2	95.11	72.4	victors	YP_169998.1	Victors_56708102	gi|56708102|ref|YP_169998.1| Holliday junction DNA helicase RuvB [Francisella tularensis subsp. tularensis SCHU S4]
IIBCLGFB_00431	1	431	+	opacity_associated_protein	1-431/431	0/0	100.0	100.0	victors	YP_248047.1	Victors_68248935	gi|68248935|ref|YP_248047.1| opacity associated protein [Haemophilus influenzae 86-028NP]
IIBCLGFB_00433	1	233	+	DNA_repair_protein_RecO	1-233/241	0/0	96.68	61.4	victors	YP_001217961.1	Victors_147673381	gi|147673381|ref|YP_001217961.1| DNA repair protein RecO [Vibrio cholerae O395]
IIBCLGFB_00435	1	743	+	GDP/GTP_pyrophosphokinase	1-741/744	6/10	99.06	62.8	victors	YP_001605545.1	Victors_162418825	gi|162418825|ref|YP_001605545.1| GDP/GTP pyrophosphokinase [Yersinia pestis Angola]
IIBCLGFB_00452	1	336	+	UDP-glucose_4-epimerase	1-334/336	1/2	99.4	63.4	victors	YP_001007253.1	Victors_123443279	gi|123443279|ref|YP_001007253.1| UDP-glucose 4-epimerase [Yersinia enterocolitica subsp. enterocolitica 8081]
IIBCLGFB_00460	10	284	+	ATP-binding_transport_protein	13-287/296	0/0	92.91	71.6	victors	NP_669212.1	Victors_22125789	gi|22125789|ref|NP_669212.1| ATP-binding transport protein [Yersinia pestis KIM10+]
IIBCLGFB_00461	23	293	+	periplasmic-binding_protein	52-322/322	0/0	84.16	74.9	victors	YP_001607037.1	Victors_162419227	gi|162419227|ref|YP_001607037.1| periplasmic-binding protein [Yersinia pestis Angola]
IIBCLGFB_00491	1	558	+	long-chain-fatty-acid--CoA_ligase	1-556/561	1/2	99.11	64.0	victors	NP_460774.1	Victors_16765159	gi|16765159|ref|NP_460774.1| long-chain-fatty-acid--CoA ligase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_00494	1	363	+	GTP-dependent_nucleic_acid-binding_protein_EngD	1-363/363	0/0	100.0	81.3	victors	YP_852334.1	Victors_117623421	gi|117623421|ref|YP_852334.1| GTP-dependent nucleic acid-binding protein EngD [Escherichia coli APEC O1]
IIBCLGFB_00507	1	315	+	acetyl-CoA_carboxylase_carboxyltransferase_subunit_alpha	1-315/315	0/0	100.0	100.0	victors	YP_248120.1	Victors_68249008	gi|68249008|ref|YP_248120.1| acetyl-CoA carboxylase carboxyltransferase subunit alpha [Haemophilus influenzae 86-028NP]
IIBCLGFB_00508	1	259	+	zinc_ABC_transporter_permease_ZnuB	1-259/261	0/0	99.23	60.6	victors	NP_460850.1	Victors_16765235	gi|16765235|ref|NP_460850.1| zinc ABC transporter permease ZnuB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_00512	2	88	+	host_factor-I	3-91/97	2/2	89.69	70.8	victors	NP_273790.1	Victors_15676646	gi|15676646|ref|NP_273790.1| host factor-I [Neisseria meningitidis MC58]
IIBCLGFB_00520	5	458	+	protease	2-451/453	2/4	99.34	78.4	victors	NP_461080.1	Victors_16765465	gi|16765465|ref|NP_461080.1| protease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
IIBCLGFB_00529	1	90	+	DNA-binding_protein_HU	1-90/90	0/0	100.0	80.0	victors	YP_001052827.1	Victors_126207602	gi|126207602|ref|YP_001052827.1| DNA-binding protein HU [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00542	1	199	+	recombination_protein_RecR	21-219/221	0/0	90.05	84.9	victors	YP_001967868.1	Victors_190149343	gi|190149343|ref|YP_001967868.1| recombination protein RecR [Actinobacillus pleuropneumoniae serovar 7 str. AP76]
IIBCLGFB_00563	9	785	+	ATP-dependent_protease_LA	11-787/802	2/2	96.76	72.1	victors	YP_001651429.1	Victors_165975836	gi|165975836|ref|YP_001651429.1| ATP-dependent protease LA [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00580	1	289	+	F0F1_ATP_synthase_subunit_gamma	1-288/288	1/1	100.0	73.0	victors	YP_001054336.1	Victors_126209111	gi|126209111|ref|YP_001054336.1| F0F1 ATP synthase subunit gamma [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00581	1	513	+	F0F1_ATP_synthase_subunit_alpha	1-513/513	0/0	100.0	88.7	victors	YP_001054337.1	Victors_126209112	gi|126209112|ref|YP_001054337.1| F0F1 ATP synthase subunit alpha [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00591	1	166	+	S-ribosylhomocysteinase	1-167/169	1/1	98.22	74.9	victors	YP_001053909.1	Victors_126208684	gi|126208684|ref|YP_001053909.1| S-ribosylhomocysteinase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
