# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
  DJPMMEHC_00001      K05541  265.27  172.5   9.7e-52 tRNA-dihydrouridine synthase C [EC:1.-.-.-]
  DJPMMEHC_00001      K05540  284.73   82.3   3.3e-24 tRNA-dihydrouridine synthase B [EC:1.-.-.-]
  DJPMMEHC_00001      K05542  360.90   67.9   7.3e-20 tRNA-dihydrouridine synthase 1 [EC:1.3.1.88]
  DJPMMEHC_00001      K05544  288.93   35.3   4.1e-10 tRNA-dihydrouridine synthase 3 [EC:1.3.1.89]
  DJPMMEHC_00001      K11923   92.00   13.9    0.0038 MerR family transcriptional regulator, copper efflux regulator
  DJPMMEHC_00001      K10797  673.07   13.5    0.0014 2-enoate reductase [EC:1.3.1.31]
  DJPMMEHC_00001      K21833  739.10    9.5     0.022 dimethylglycine catabolism A
* DJPMMEHC_00002      K03089  257.10  432.1  1.5e-130 RNA polymerase sigma-32 factor
  DJPMMEHC_00002      K03087  412.50  166.8   6.6e-50 RNA polymerase nonessential primary-like sigma factor
  DJPMMEHC_00002      K03086  457.73  166.3   1.4e-49 RNA polymerase primary sigma factor
  DJPMMEHC_00002      K03091  166.33  113.7   1.1e-33 RNA polymerase sporulation-specific sigma factor
  DJPMMEHC_00002      K03090  272.87   89.0   3.1e-26 RNA polymerase sigma-B factor
  DJPMMEHC_00002      K03093  288.40   88.5   5.4e-26 RNA polymerase sigma factor
  DJPMMEHC_00002      K02405  182.37   86.1   2.9e-25 RNA polymerase sigma factor FliA
  DJPMMEHC_00002      K16855  254.83   12.0    0.0093 U8 snoRNA-decapping enzyme [EC:3.6.1.62 3.6.1.64]
* DJPMMEHC_00004      K00075  124.43  362.2  4.8e-109 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
* DJPMMEHC_00005      K07674  504.57  696.0  3.5e-210 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]
  DJPMMEHC_00005      K07673  468.93  390.9  1.4e-117 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]
  DJPMMEHC_00005      K07675  246.03  155.1     3e-46 two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]
  DJPMMEHC_00005      K11617  229.37  148.0     3e-44 two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]
  DJPMMEHC_00005      K07777  255.77  134.3   4.9e-40 two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]
  DJPMMEHC_00005      K11623  267.43  132.9   1.2e-39 two-component system, NarL family, sensor histidine kinase YdfH [EC:2.7.13.3]
