qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	evalue	length	pident	gaps	gapopen	stitle
BHKEBAIG_00083	1	278	278	ICEberg~~~ICE_60~~~CAF29009.1~~~putative_chromosome_partitioning_related_protein_Haemophilus_influenzae	1	278	278	7.09e-205	278	100	0	0	ICEberg~~~ICE_60~~~CAF29009.1~~~putative_chromosome_partitioning_related_protein_Haemophilus_influenzae  ICEberg|60 gi|51507260|emb|CAF29009.1| putative chromosome partitioning related protein [Haemophilus influenzae]
BHKEBAIG_00084	1	451	451	ICEberg~~~ICE_60~~~CAF29010.1~~~replicative_DNA_helicase_Haemophilus_influenzae	1	451	451	0.0	451	99.1	0	0	ICEberg~~~ICE_60~~~CAF29010.1~~~replicative_DNA_helicase_Haemophilus_influenzae  ICEberg|60 gi|51507261|emb|CAF29010.1| replicative DNA helicase [Haemophilus influenzae]
BHKEBAIG_00085	1	566	566	ICEberg~~~ICE_60~~~CAF29011.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	562	562	0.0	566	95.9	4	1	ICEberg~~~ICE_60~~~CAF29011.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507262|emb|CAF29011.1| conserved hypothetical protein [Haemophilus influenzae]
BHKEBAIG_00086	1	183	183	ICEberg~~~ICE_60~~~CAF29012.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	183	183	1.84e-128	183	100	0	0	ICEberg~~~ICE_60~~~CAF29012.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507263|emb|CAF29012.1| conserved hypothetical protein [Haemophilus influenzae]
BHKEBAIG_00087	1	407	407	ICEberg~~~ICE_60~~~CAF29013.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	407	407	3.01e-287	407	97.8	0	0	ICEberg~~~ICE_60~~~CAF29013.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507264|emb|CAF29013.1| conserved hypothetical protein [Haemophilus influenzae]
BHKEBAIG_00089	1	251	251	ICEberg~~~ICE_60~~~CAF29014.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	251	251	5.11e-180	251	100	0	0	ICEberg~~~ICE_60~~~CAF29014.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507265|emb|CAF29014.1| conserved hypothetical protein [Haemophilus influenzae]
BHKEBAIG_00090	1	157	157	ICEberg~~~ICE_960~~~ANC65531.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	157	157	3.20e-105	157	100	0	0	ICEberg~~~ICE_960~~~ANC65531.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443421|ref|ANC65531.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00091	1	140	140	ICEberg~~~ICE_960~~~ANC65532.1~~~single-stranded_DNA_binding_protein_Actinobacillus_pleuropneumoniae	1	140	140	2.35e-101	140	99.3	0	0	ICEberg~~~ICE_960~~~ANC65532.1~~~single-stranded_DNA_binding_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443422|ref|ANC65532.1| single-stranded DNA binding protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00092	1	172	172	ICEberg~~~ICE_960~~~ANC65533.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	172	172	1.66e-112	172	99.4	0	0	ICEberg~~~ICE_960~~~ANC65533.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443423|ref|ANC65533.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00093	1	185	185	ICEberg~~~ICE_60~~~CAF29018.1~~~hypothetical_protein_Haemophilus_influenzae	1	185	185	4.19e-135	185	96.8	0	0	ICEberg~~~ICE_60~~~CAF29018.1~~~hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507269|emb|CAF29018.1| hypothetical protein [Haemophilus influenzae]
BHKEBAIG_00094	1	681	681	ICEberg~~~ICE_60~~~CAF29019.1~~~DNA_topoisomerase_III_Haemophilus_influenzae	1	681	681	0.0	681	97.8	0	0	ICEberg~~~ICE_60~~~CAF29019.1~~~DNA_topoisomerase_III_Haemophilus_influenzae  ICEberg|60 gi|51507270|emb|CAF29019.1| DNA topoisomerase III [Haemophilus influenzae]
BHKEBAIG_00095	1	142	142	ICEberg~~~ICE_60~~~CAF29020.1~~~conserved_hypothetical_protein_Haemophilus_influenzae	1	142	142	6.98e-104	142	98.6	0	0	ICEberg~~~ICE_60~~~CAF29020.1~~~conserved_hypothetical_protein_Haemophilus_influenzae  ICEberg|60 gi|51507271|emb|CAF29020.1| conserved hypothetical protein [Haemophilus influenzae]
BHKEBAIG_00096	1	213	213	ICEberg~~~ICE_960~~~ANC65537.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	213	213	5.77e-149	213	97.7	0	0	ICEberg~~~ICE_960~~~ANC65537.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443427|ref|ANC65537.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00097	1	156	156	ICEberg~~~ICE_60~~~CAF29022.1~~~putative_DNA_repair-like_protein_Haemophilus_influenzae	1	156	156	3.60e-106	156	98.1	0	0	ICEberg~~~ICE_60~~~CAF29022.1~~~putative_DNA_repair-like_protein_Haemophilus_influenzae  ICEberg|60 gi|51507273|emb|CAF29022.1| putative DNA repair-like protein [Haemophilus influenzae]
BHKEBAIG_00099	1	243	243	ICEberg~~~ICE_960~~~ANC65552.1~~~TraX_protein_Actinobacillus_pleuropneumoniae	1	243	243	2.96e-175	243	98.4	0	0	ICEberg~~~ICE_960~~~ANC65552.1~~~TraX_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443442|ref|ANC65552.1| TraX protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00100	1	209	209	ICEberg~~~ICE_60~~~CAF29039.1~~~putative_lipoprotein_precursor_Haemophilus_influenzae	1	209	209	2.76e-145	209	100	0	0	ICEberg~~~ICE_60~~~CAF29039.1~~~putative_lipoprotein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507288|emb|CAF29039.1| putative lipoprotein precursor [Haemophilus influenzae]
BHKEBAIG_00101	1	246	246	ICEberg~~~ICE_60~~~CAF29040.1~~~putative_exported_protein_precursor_Haemophilus_influenzae	1	246	246	1.85e-175	246	96.7	0	0	ICEberg~~~ICE_60~~~CAF29040.1~~~putative_exported_protein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507289|emb|CAF29040.1| putative exported protein precursor [Haemophilus influenzae]
BHKEBAIG_00102	1	252	252	ICEberg~~~ICE_60~~~CAF29041.1~~~putative_exported_protein_precursor_Haemophilus_influenzae	1	252	252	6.78e-190	252	100	0	0	ICEberg~~~ICE_60~~~CAF29041.1~~~putative_exported_protein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507290|emb|CAF29041.1| putative exported protein precursor [Haemophilus influenzae]
BHKEBAIG_00103	1	168	168	ICEberg~~~ICE_60~~~CAF29042.1~~~putative_exported_protein_precursor_Haemophilus_influenzae	1	168	168	2.90e-120	168	99.4	0	0	ICEberg~~~ICE_60~~~CAF29042.1~~~putative_exported_protein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507291|emb|CAF29042.1| putative exported protein precursor [Haemophilus influenzae]
BHKEBAIG_00104	1	749	749	ICEberg~~~ICE_960~~~ANC65557.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	749	749	0.0	749	99.9	0	0	ICEberg~~~ICE_960~~~ANC65557.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443447|ref|ANC65557.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00105	1	111	111	ICEberg~~~ICE_960~~~ANC65558.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	111	111	1.57e-83	111	100	0	0	ICEberg~~~ICE_960~~~ANC65558.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443448|ref|ANC65558.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00106	1	228	228	ICEberg~~~ICE_60~~~CAF29045.1~~~Putative_membrane_protein_Haemophilus_influenzae	1	228	228	1.72e-162	228	99.6	0	0	ICEberg~~~ICE_60~~~CAF29045.1~~~Putative_membrane_protein_Haemophilus_influenzae  ICEberg|60 gi|51507294|emb|CAF29045.1| Putative membrane protein [Haemophilus influenzae]
BHKEBAIG_00107	1	106	106	ICEberg~~~ICE_960~~~ANC65560.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	106	106	4.63e-67	106	99.1	0	0	ICEberg~~~ICE_960~~~ANC65560.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443450|ref|ANC65560.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00108	1	81	81	ICEberg~~~ICE_960~~~ANC65561.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	81	81	2.29e-51	81	95.1	0	0	ICEberg~~~ICE_960~~~ANC65561.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443451|ref|ANC65561.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00109	1	133	133	ICEberg~~~ICE_60~~~CAF29047.1~~~putative_membrane_protein_Haemophilus_influenzae	1	133	133	1.83e-88	133	99.2	0	0	ICEberg~~~ICE_60~~~CAF29047.1~~~putative_membrane_protein_Haemophilus_influenzae  ICEberg|60 gi|51507296|emb|CAF29047.1| putative membrane protein [Haemophilus influenzae]
BHKEBAIG_00110	1	123	123	ICEberg~~~ICE_960~~~ANC65563.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	123	123	5.43e-83	123	100	0	0	ICEberg~~~ICE_960~~~ANC65563.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443453|ref|ANC65563.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00111	1	214	214	ICEberg~~~ICE_960~~~ANC65564.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	214	214	1.61e-160	214	98.6	0	0	ICEberg~~~ICE_960~~~ANC65564.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443454|ref|ANC65564.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00112	1	289	289	ICEberg~~~ICE_960~~~ANC65565.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	289	289	2.02e-205	289	99.3	0	0	ICEberg~~~ICE_960~~~ANC65565.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443455|ref|ANC65565.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00113	1	466	466	ICEberg~~~ICE_60~~~CAF29051.1~~~putative_exported_protein_precursor_Haemophilus_influenzae	1	466	466	0.0	466	97.0	0	0	ICEberg~~~ICE_60~~~CAF29051.1~~~putative_exported_protein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507300|emb|CAF29051.1| putative exported protein precursor [Haemophilus influenzae]
BHKEBAIG_00114	1	135	135	ICEberg~~~ICE_60~~~CAF29052.1~~~putative_lipoprotein_precursor_Haemophilus_influenzae	1	135	135	2.48e-96	135	99.3	0	0	ICEberg~~~ICE_60~~~CAF29052.1~~~putative_lipoprotein_precursor_Haemophilus_influenzae  ICEberg|60 gi|51507301|emb|CAF29052.1| putative lipoprotein precursor [Haemophilus influenzae]
BHKEBAIG_00115	1	956	956	ICEberg~~~ICE_960~~~ANC65568.1~~~F_pilus_assembly_Type-IV_secretion_system_for_plasmid_transfer_Actinobacillus_pleuropneumoniae	1	956	956	0.0	956	99.8	0	0	ICEberg~~~ICE_960~~~ANC65568.1~~~F_pilus_assembly_Type-IV_secretion_system_for_plasmid_transfer_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443458|ref|ANC65568.1| F pilus assembly Type-IV secretion system for plasmid transfer [Actinobacillus pleuropneumoniae]
BHKEBAIG_00116	1	147	147	ICEberg~~~ICE_960~~~ANC65569.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae	1	147	147	4.85e-111	147	100	0	0	ICEberg~~~ICE_960~~~ANC65569.1~~~hypothetical_protein_Actinobacillus_pleuropneumoniae  ICEberg|960 gi|9723443459|ref|ANC65569.1| hypothetical protein [Actinobacillus pleuropneumoniae]
BHKEBAIG_00117	1	107	107	ICEberg~~~ICE_60~~~CAF29055.1~~~hypothetical_membrane_protein_Haemophilus_influenzae	1	107	107	3.12e-70	107	100	0	0	ICEberg~~~ICE_60~~~CAF29055.1~~~hypothetical_membrane_protein_Haemophilus_influenzae  ICEberg|60 gi|51507304|emb|CAF29055.1| hypothetical membrane protein [Haemophilus influenzae]
BHKEBAIG_00118	1	497	497	ICEberg~~~ICE_60~~~CAF29056.1~~~Putative_membrane_protein_Haemophilus_influenzae	1	497	497	0.0	497	100	0	0	ICEberg~~~ICE_60~~~CAF29056.1~~~Putative_membrane_protein_Haemophilus_influenzae  ICEberg|60 gi|51507305|emb|CAF29056.1| Putative membrane protein [Haemophilus influenzae]
BHKEBAIG_00119	1	109	109	ICEberg~~~ICE_60~~~CAF29057.1~~~hypothetical_membrane_protein_Haemophilus_influenzae	1	109	109	1.41e-76	109	100	0	0	ICEberg~~~ICE_60~~~CAF29057.1~~~hypothetical_membrane_protein_Haemophilus_influenzae  ICEberg|60 gi|51507306|emb|CAF29057.1| hypothetical membrane protein [Haemophilus influenzae]
BHKEBAIG_00121	1	185	185	ICEberg~~~ICE_60~~~CAF29066.1~~~transposon_Tn3_resolvase_Haemophilus_influenzae	1	185	185	8.40e-126	185	100	0	0	ICEberg~~~ICE_60~~~CAF29066.1~~~transposon_Tn3_resolvase_Haemophilus_influenzae  ICEberg|60 gi|51507315|emb|CAF29066.1| transposon Tn3 resolvase [Haemophilus influenzae]
