# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EJFNJEFF_00001      K03495  294.00 1004.1  4.8e-303 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
  EJFNJEFF_00001      K04094  344.23   83.9   7.9e-25 methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
  EJFNJEFF_00001      K22549  446.50   36.1   2.8e-10 D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
  EJFNJEFF_00001      K09516  374.27   35.5   4.1e-10 all-trans-retinol 13,14-reductase [EC:1.3.99.23]
  EJFNJEFF_00001      K21401  224.47   35.4   6.2e-10 menaquinone-9 beta-reductase [EC:1.3.99.38]
  EJFNJEFF_00001      K09835  397.70   31.6   4.6e-09 prolycopene isomerase [EC:5.2.1.13]
  EJFNJEFF_00001      K00384  320.57   31.6   7.7e-09 thioredoxin reductase (NADPH) [EC:1.8.1.9]
  EJFNJEFF_00001      K00112  119.37   30.8   1.4e-08 glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
  EJFNJEFF_00001      K00306  306.10   29.1   3.3e-08 sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
  EJFNJEFF_00001      K00302 1271.27   27.6     7e-08 sarcosine oxidase, subunit alpha [EC:1.5.3.1]
  EJFNJEFF_00001      K00278  517.87   26.8   1.5e-07 L-aspartate oxidase [EC:1.4.3.16]
  EJFNJEFF_00001      K24954  667.00   26.5     2e-07 octopine oxidase subunit A
  EJFNJEFF_00001      K00382  469.67   26.5     2e-07 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
  EJFNJEFF_00001      K00313  269.93   25.8   4.3e-07 electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
  EJFNJEFF_00001      K07137  105.40   25.6   3.9e-07 uncharacterized protein
  EJFNJEFF_00001      K17830  252.87   25.1   6.7e-07 digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
  EJFNJEFF_00001      K00111  152.47   24.8   7.4e-07 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
  EJFNJEFF_00001      K02846  397.00   24.6   1.1e-06 N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
  EJFNJEFF_00001      K03388  667.43   24.6   6.3e-07 heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
  EJFNJEFF_00001      K18209  641.13   24.4   8.8e-07 fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1]
  EJFNJEFF_00001      K21567  367.73   23.9   1.9e-06 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
  EJFNJEFF_00001      K06443  119.53   21.8     7e-06 lycopene beta-cyclase [EC:5.5.1.19]
  EJFNJEFF_00001      K14257  303.20   20.7   1.4e-05 tetracycline 7-halogenase / FADH2 O2-dependent halogenase [EC:1.14.19.49 1.14.19.-]
  EJFNJEFF_00001      K00244  389.23   20.7   1.3e-05 fumarate reductase flavoprotein subunit [EC:1.3.5.4]
  EJFNJEFF_00001      K17363  602.27   20.6   1.2e-05 urocanate reductase [EC:1.3.99.33]
  EJFNJEFF_00001      K22699  262.43   20.3   2.8e-05 sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]
  EJFNJEFF_00001      K00239  637.47   20.1   1.8e-05 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
  EJFNJEFF_00001      K00108  433.93   19.9   2.2e-05 choline dehydrogenase [EC:1.1.99.1]
  EJFNJEFF_00001      K09471  286.77   19.8   2.2e-05 gamma-glutamylputrescine oxidase [EC:1.4.3.-]
  EJFNJEFF_00001      K03153  264.43   19.6   4.5e-05 glycine oxidase [EC:1.4.3.19]
  EJFNJEFF_00001      K09845  531.57   19.1   3.6e-05 1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]
  EJFNJEFF_00001      K03387  349.77   18.8   5.3e-05 NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
  EJFNJEFF_00001      K05898  303.93   18.3   5.3e-05 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]
  EJFNJEFF_00001      K20158       -   18.2   6.7e-05 pseudooxynicotine oxidase [EC:1.4.3.24]
  EJFNJEFF_00001      K16033  634.67   18.1   7.8e-05 FADH2-dependent halogenase
  EJFNJEFF_00001      K00303  309.40   18.1   7.9e-05 sarcosine oxidase, subunit beta [EC:1.5.3.1]
  EJFNJEFF_00001      K03185  415.73   18.0   8.5e-05 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
  EJFNJEFF_00001      K18800  456.00   17.8   8.3e-05 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]
  EJFNJEFF_00001      K21061  265.07   17.3   0.00016 D-hydroxyproline dehydrogenase subunit beta [EC:1.5.99.-]
  EJFNJEFF_00001      K10960  199.53   17.2   0.00016 geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
  EJFNJEFF_00001      K20169       -   17.0   0.00018 nicotine oxidoreductase [EC:1.5.3.-]
  EJFNJEFF_00001      K22086 1336.03   16.6   0.00012 methylglutamate dehydrogenase subunit C [EC:1.5.99.5]
  EJFNJEFF_00001      K21833  739.10   16.4   0.00018 dimethylglycine catabolism A
  EJFNJEFF_00001      K13796  345.73   16.4   0.00022 tricarballylate dehydrogenase
  EJFNJEFF_00001      K16431  472.43   16.4   0.00036 FAD-dependent halogenase [EC:1.14.19.-]
  EJFNJEFF_00001      K19746  265.43   15.7   0.00081 D-arginine dehydrogenase [EC:1.4.99.6]
  EJFNJEFF_00001      K18556  922.97   15.6    0.0004 NADH-dependent fumarate reductase subunit A [EC:1.3.1.6]
  EJFNJEFF_00001      K21739  458.30   15.4   0.00064 probable pyridine nucleotide-disulfide oxidoreductase
  EJFNJEFF_00001      K02292 1004.30   15.3   0.00053 beta-carotene ketolase (CrtO type)
  EJFNJEFF_00001      K00316  301.67   14.9     0.001 spermidine dehydrogenase [EC:1.5.99.6]
  EJFNJEFF_00001      K16051  381.87   14.8   0.00074 3-oxo-5alpha-steroid 4-dehydrogenase [EC:1.3.99.5]
