# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EBNMPBKG_00007      K12297  549.43 1052.1         0 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]
* EBNMPBKG_00007      K07444  445.13  458.0  4.4e-138 putative N6-adenine-specific DNA methylase [EC:2.1.1.-]
  EBNMPBKG_00007      K06969  237.43  232.3   1.4e-69 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
  EBNMPBKG_00007      K16318  221.20  161.5   3.3e-48 tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]
  EBNMPBKG_00007      K07446  167.70   68.5   5.4e-20 tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]
  EBNMPBKG_00007      K00571  161.90   59.0   4.1e-17 site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
  EBNMPBKG_00007      K08316   91.13   58.6   6.2e-17 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
  EBNMPBKG_00007      K15460  129.67   45.3   5.3e-13 tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]
  EBNMPBKG_00007      K02493  230.83   43.0   3.5e-12 release factor glutamine methyltransferase [EC:2.1.1.297]
  EBNMPBKG_00007      K07319  246.73   38.7     5e-11 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
  EBNMPBKG_00007      K03427  113.80   38.2   7.5e-11 type I restriction enzyme M protein [EC:2.1.1.72]
  EBNMPBKG_00007      K07317  147.37   34.8   6.3e-10 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
  EBNMPBKG_00007      K07579  222.10   30.2   2.9e-08 putative methylase
  EBNMPBKG_00007      K07320  279.03   29.8   3.1e-08 ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]
  EBNMPBKG_00007      K03215  312.10   28.8   5.1e-08 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
  EBNMPBKG_00007      K06983  220.47   24.3   1.5e-06 uncharacterized protein
  EBNMPBKG_00007      K18896  168.17   23.3   3.5e-06 glycine/sarcosine N-methyltransferase [EC:2.1.1.156]
  EBNMPBKG_00007      K13581  561.17   22.9   3.3e-06 modification methylase [EC:2.1.1.72]
  EBNMPBKG_00007      K13623  184.33   22.0   8.6e-06 S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase
  EBNMPBKG_00007      K14292  118.10   21.2   1.2e-05 trimethylguanosine synthase [EC:2.1.1.-]
  EBNMPBKG_00007      K22843  131.90   21.0   1.7e-05 ETFB lysine methyltransferase [EC:2.1.1.-]
  EBNMPBKG_00007      K03212  312.13   18.0   7.6e-05 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]
  EBNMPBKG_00007      K06223   58.63   17.6   0.00017 DNA adenine methylase [EC:2.1.1.72]
  EBNMPBKG_00007      K07057  110.13   16.2   0.00038 N4-bis(aminopropyl)spermidine synthase [EC:2.5.1.128]
  EBNMPBKG_00007      K02191  217.80   15.8   0.00042 cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]
  EBNMPBKG_00007      K00797  102.57   15.1    0.0008 spermidine synthase [EC:2.5.1.16]
  EBNMPBKG_00007      K21804  211.83   14.9    0.0013 protein N-lysine methyltransferase METTL21A [EC:2.1.1.-]
  EBNMPBKG_00007      K21552  124.83   13.0    0.0045 methyl halide transferase [EC:2.1.1.165]
  EBNMPBKG_00007      K06968  134.67   12.0    0.0064 23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]
  EBNMPBKG_00007      K06219  129.20   10.7     0.019 S-adenosylmethionine-dependent methyltransferase
  EBNMPBKG_00007      K11434  466.80    7.9      0.13 type I protein arginine methyltransferase [EC:2.1.1.319]
  EBNMPBKG_00007      K07755  127.57    6.2      0.37 arsenite methyltransferase [EC:2.1.1.137]
  EBNMPBKG_00007      K02169  170.27    6.2      0.39 malonyl-CoA O-methyltransferase [EC:2.1.1.197]
  EBNMPBKG_00007      K02687  109.53    5.9       0.7 ribosomal protein L11 methyltransferase [EC:2.1.1.-]
* EBNMPBKG_00009      K08304  175.43  354.8  9.9e-107 membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
* EBNMPBKG_00010      K22132  160.43  317.9   1.1e-95 tRNA threonylcarbamoyladenosine dehydratase
  EBNMPBKG_00010      K21029  299.47  136.7   8.7e-41 molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]
  EBNMPBKG_00010      K03148  324.37  121.2   4.7e-36 sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]
  EBNMPBKG_00010      K21147  389.17  108.3   3.8e-32 sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]
  EBNMPBKG_00010      K22837  405.80   97.2   7.4e-29 SAMP-activating enzyme [EC:2.7.7.100]
  EBNMPBKG_00010      K10685  349.47   67.9   7.1e-20 ubiquitin-like 1-activating enzyme E1 B [EC:6.2.1.45]
  EBNMPBKG_00010      K10686  278.80   58.6   3.4e-17 NEDD8-activating enzyme E1 [EC:6.2.1.64]
  EBNMPBKG_00010      K19064  238.80   24.0   1.7e-06 lysine 6-dehydrogenase [EC:1.4.1.18]
  EBNMPBKG_00010      K03531  140.50   18.7   6.3e-05 cell division protein FtsZ
